time(s),GPU_Utilization(%),Memory_Utilization(%),Used_Memory(Bytes),Power_Usage(mW),Temperature(C)
0.0,8,37.44791666637563,77202037145,682569,-1
0.0,8,37.44791666637563,77202037145,682569,-1
0.0,8,37.44791666637563,77202037145,682569,-1
0.0,8,37.44791666637563,77202037145,682569,-1
0.0,8,37.44791666637563,77202037145,682569,-1
0.0,8,37.44791666637563,77202037145,682569,-1
0.0,8,37.44791666637563,77202037145,682569,-1
0.0,8,37.44791666637563,77202037145,682569,-1
0.0,8,37.44791666637563,77202037145,682569,-1
0.0,8,37.44791666637563,77202037145,682569,-1
0.0,8,37.44791666637563,77202037145,682569,-1
0.0,8,37.44791666637563,77202037145,682569,-1
0.0,8,37.44791666637563,77202037145,682569,-1
0.0,8,37.44791666637563,77202037145,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
0.0,8,37.5,77309411328,682569,-1
